Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA
25.0,0.0,0.0,1.0050000000000001,12.0,16.2,0.0,10.0
19.400000000000002,0.0,0.0,1.2449999999999999,16.5,14.4,0.0,9.5
25.0,0.0,0.0,1.0050000000000001,21.0,16.2,0.0,10.0
18.0,0.0,0.0,1.2449999999999999,12.0,14.4,0.0,9.5
19.400000000000002,0.0,0.0,1.2449999999999999,12.0,14.4,0.0,9.5
20.8,0.0,0.0,1.2449999999999999,16.5,14.4,0.0,9.5
18.0,0.0,0.0,1.2449999999999999,21.0,14.4,0.0,9.0
22.2,0.0,0.0,1.0050000000000001,12.0,16.2,0.0,9.5
19.400000000000002,0.0,0.0,1.2449999999999999,16.5,14.4,0.0,10.0
19.400000000000002,0.0,0.0,1.2449999999999999,16.5,14.4,0.0,10.0
22.2,0.0,0.0,1.0050000000000001,12.0,16.2,0.0,9.0
22.2,0.0,0.0,1.0050000000000001,12.0,16.2,0.0,9.0
20.8,0.0,0.0,1.0050000000000001,16.5,14.4,0.0,9.5
22.2,0.0,0.0,1.0050000000000001,12.0,16.2,0.0,10.0
18.0,0.0,0.0,1.2449999999999999,21.0,14.4,0.0,8.5
18.0,0.0,0.0,1.2449999999999999,21.0,14.4,0.0,8.5
23.599999999999998,0.0,0.0,1.0050000000000001,21.0,16.2,0.0,9.5
20.8,0.0,0.0,1.2449999999999999,21.0,14.4,0.0,9.0
22.2,0.0,0.0,1.0050000000000001,21.0,14.4,0.0,9.5
19.400000000000002,0.0,0.0,1.2449999999999999,21.0,14.4,0.0,8.5
18.0,0.0,0.0,1.2449999999999999,16.5,14.4,0.0,8.0
19.400000000000002,0.0,0.0,1.2449999999999999,12.0,16.2,0.0,9.0
20.8,0.0,0.0,1.2449999999999999,16.5,16.2,0.0,9.5
20.8,0.0,0.0,1.0050000000000001,12.0,14.4,0.0,9.5
20.8,0.0,0.0,1.0050000000000001,12.0,14.4,0.0,9.5
20.8,0.0,0.0,1.0050000000000001,12.0,14.4,0.0,9.5
20.8,0.0,0.0,1.0050000000000001,21.0,14.4,0.0,9.5
20.8,0.0,0.0,1.0050000000000001,21.0,14.4,0.0,9.5
20.8,0.0,0.0,1.2449999999999999,12.0,16.2,0.0,10.0
20.8,0.0,0.0,1.2449999999999999,12.0,16.2,0.0,8.5
22.2,0.0,0.0,1.0050000000000001,21.0,14.4,0.0,10.0
23.599999999999998,0.0,0.0,1.2449999999999999,16.5,16.2,0.0,9.0
20.8,0.0,0.0,1.2449999999999999,21.0,14.4,0.0,10.0
23.599999999999998,0.0,0.0,1.0050000000000001,16.5,14.4,0.0,10.0
18.0,0.0,0.0,1.0050000000000001,16.5,14.4,0.0,9.0
22.2,0.0,0.0,1.0050000000000001,21.0,14.4,0.0,9.0
19.400000000000002,0.0,0.0,1.0050000000000001,16.5,14.4,0.0,10.0
19.400000000000002,0.0,0.0,1.2449999999999999,12.0,14.4,0.0,8.0
18.0,0.0,0.0,1.2449999999999999,21.0,12.6,0.0,9.5
25.0,0.0,0.0,1.0050000000000001,4.5,18.0,0.0,9.5
25.0,0.0,0.0,1.0050000000000001,4.5,18.0,0.0,9.5
25.0,0.0,0.0,1.0050000000000001,16.5,18.0,0.0,9.5
22.2,0.0,0.0,1.2449999999999999,16.5,16.2,0.0,8.5
18.0,0.0,0.0,1.0050000000000001,12.0,14.4,0.0,9.5
19.400000000000002,0.0,0.0,1.2449999999999999,16.5,16.2,0.0,9.5
25.0,0.0,0.0,1.0050000000000001,4.5,18.0,0.0,10.0
18.0,0.0,0.0,1.2449999999999999,21.0,12.6,0.0,8.5
25.0,0.0,0.0,1.2449999999999999,16.5,16.2,0.0,9.0
22.2,0.0,0.0,1.0050000000000001,16.5,14.4,0.0,8.5
23.599999999999998,0.0,0.0,1.0050000000000001,12.0,14.4,0.0,9.5
